quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover
3	CMB	BE0003817344	CMB	1	63	20.496635260348047	19743.73015873016	130.57142857142858	403477.0003174605
3	COFINIMMO	BE0003593044	COFB	0	63	88.88864258897887	39366.793650793654	884.5873015873016	3514942.8750793645
3	COLRUYT	BE0974256852	COLR	1	63	40.4562426703336	141022.9365079365	1344.2063492063492	5659359.424126984
3	CONNECT GROUP	BE0003786036	CONN	1	63	1.8262904861041784	1775.6666666666667	4.317460317460317	3240.8926984126992
3	D&#039;IETEREN	BE0974259880	DIE	1	63	31.94500893377036	39885.857142857145	510.1904761904762	1273365.7722222223
3	DECEUNINCK	BE0003789063	DECB	1	63	2.303323511998282	80698.53968253969	101.65079365079364	187534.92777777775
3	DELHAIZE GROUP	BE0003562700	DELB	0.15873015873015872	63	51.78477239962628	399405.44444444444	3862.0793650793653	20655834.345714286
3	DEXIA	BE0003796134	DEXB	1	63	0.039465610227449335	3992809.253968254	125.53968253968254	156366.9503174603
3	ECKERT-ZIEGLER BG	BE0003689032	EZBG	1	63	1.9766276212377485	2517.0158730158732	6.317460317460317	4985.094444444444
3	ECONOCOM GROUP	BE0974266950	ECONB	1	63	7.519332453652588	98385.96825396825	386.63492063492066	739748.1779365082
3	ELIA	BE0003822393	ELI	1	63	37.98587224633886	44121.53968253968	542.1904761904761	1675193.1315873011
3	EURONAV	BE0003816338	EURN	1	63	8.771140914859751	74461.3492063492	299.3015873015873	641821.4758730158
3	EVS BROADC.EQUIPM.	BE0003820371	EVS	1	63	41.804318850683394	42262.09523809524	618.6190476190476	1669292.3388888892
3	EXMAR	BE0003808251	EXM	1	63	11.90064185175927	58247.42857142857	318.93650793650795	693950.4446031747
3	FAGRON	BE0003874915	FAGR	1	63	39.439612196427845	87227.69841269842	755	3423312.884126985
3	FLUXYS BELGIUM D	BE0974265945	FLUX	1	62	29.283607619592782	2167.3548387096776	19.951612903225808	63256.47548387097
3	UCB	BE0003739530	UCB	0	63	58.68158085882934	206408.03174603175	1897.3968253968253	12115915.438095242
3	UMICORE	BE0003884047	UMI	1	63	35.426979140643944	483398.38095238095	2879.9841269841268	17120865.095079366
3	VAN DE VELDE	BE0003839561	VAN	1	63	38.81352815945421	4423.126984126984	54.41269841269841	171455.57523809528
3	VASTNED RETAIL BEL	BE0003754687	VASTB	0	63	55.06752073156388	1108.3492063492063	13.126984126984127	60770.46920634918
3	VGP	BE0003878957	VGP	1	63	18.144821899088154	291.42857142857144	2.9365079365079363	5272.579047619048
3	VIOHALCO	BE0974271034	VIO	1	63	4.329411101388545	28701.666666666668	92.66666666666667	124448.03523809522
3	WAREHOUSES-SICAFI	BE0003734481	WEB	0	62	55.32472590309152	492.8709677419355	6.112903225806452	27090.264032258063
3	WDP	BE0003763779	WDP	0	63	54.62255950620765	12413.42857142857	206.42857142857142	677523.0496825398
3	WERELDHAV B-SICAFI	BE0003724383	WEHB	0	57	93.41039354322155	1270.6666666666667	49.12280701754386	118462.08421052633
3	ZENITEL	BE0003806230	ZENT	1	57	0.9027670852370736	11417.368421052632	5.947368421052632	10531.626666666667
3	ZETES INDUSTRIES	BE0003827442	ZTS	1	63	21.593240514046553	2831.5714285714284	23.984126984126984	61244.466666666674
3	SIOEN	BE0003743573	SIOE	1	63	9.458556592660118	13796.920634920634	62.714285714285715	133355.80936507936
